CountyFP,Time_fornow_enddate,StartDate,EndDate,DurationDays,Hazard,CropDmg,avg_tmax,avg_tmin,avg_ppt,unique_id,duplicate
24041,7/17/1987,7/17/1987,7/17/1987,1,Heat,460.5,79.39482809,61.43813606,0,24041 1987-07-17,FALSE
24045,7/17/1987,7/17/1987,7/17/1987,1,Heat,460.5,79.3654744,57.48552882,0.026726945,24045 1987-07-17,FALSE
24047,7/17/1987,7/17/1987,7/17/1987,1,Heat,460.5,78.8736517,58.68351761,0.001990736,24047 1987-07-17,FALSE
10005,7/27/1987,7/19/1987,7/27/1987,9,Heat,11052.24,94.05807661,71.69829473,0.107087893,10005 1987-07-19,FALSE
51001,7/27/1987,7/18/1987,7/27/1987,10,Heat,812.67,92.31184843,72.50459101,0.007230207,51001 1987-07-18,FALSE
51131,7/27/1987,7/18/1987,7/27/1987,10,Heat,812.67,91.4245343,72.54980226,0.008067895,51131 1987-07-18,FALSE
24011,6/20/1986,3/21/1986,6/20/1986,92,Drought,4773171.38,73.0263454,50.27889642,0.038815717,24011 1986-03-21,FALSE
24015,6/20/1986,3/21/1986,6/20/1986,92,Drought,4773171.38,71.76969814,48.84769037,0.063669439,24015 1986-03-21,FALSE
24019,6/20/1986,3/21/1986,6/20/1986,92,Drought,4773171.38,72.58004189,52.56648851,0.033796946,24019 1986-03-21,FALSE
24029,6/20/1986,3/21/1986,6/20/1986,92,Drought,4773171.38,71.74096781,50.70131478,0.050568289,24029 1986-03-21,FALSE
24035,6/20/1986,3/21/1986,6/20/1986,92,Drought,4773171.38,72.07399911,50.83681919,0.047033048,24035 1986-03-21,FALSE
24039,6/20/1986,3/21/1986,6/20/1986,92,Drought,4773171.38,72.68718355,51.51156571,0.024818296,24039 1986-03-21,FALSE
24041,6/20/1986,3/21/1986,6/20/1986,92,Drought,4773171.38,72.20026792,52.11426004,0.039915363,24041 1986-03-21,FALSE
24045,6/20/1986,3/21/1986,6/20/1986,92,Drought,4773171.38,73.34590815,50.43479816,0.029346513,24045 1986-03-21,FALSE
24047,6/20/1986,3/21/1986,6/20/1986,92,Drought,4773171.38,71.56623251,50.07207457,0.032418405,24047 1986-03-21,FALSE
51001,6/20/1986,3/21/1986,6/20/1986,92,Drought,842324.36,71.60658594,52.23820238,0.027033649,51001 1986-03-21,FALSE
51131,6/20/1986,3/21/1986,6/20/1986,92,Drought,842324.36,71.81721895,53.65934021,0.029245469,51131 1986-03-21,FALSE
